IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.154.237.161,443,443,true,FRA,Europe,Frankfurt,251,5.15
34.91.80.183,443,443,true,FRA,Europe,Frankfurt,269,5.15
34.65.199.119,443,443,true,FRA,Europe,Frankfurt,250,5.14
34.118.110.180,443,443,true,FRA,Europe,Frankfurt,279,5.14
34.65.16.137,443,443,true,FRA,Europe,Frankfurt,256,5.12
34.89.239.146,443,443,true,FRA,Europe,Frankfurt,261,5.12
34.147.46.136,443,443,true,FRA,Europe,Frankfurt,256,5.11
34.90.252.225,443,443,true,FRA,Europe,Frankfurt,268,5.10
34.65.23.76,443,443,true,FRA,Europe,Frankfurt,268,5.10
34.91.188.243,443,443,true,FRA,Europe,Frankfurt,266,5.10
34.118.99.171,443,443,true,FRA,Europe,Frankfurt,269,5.09
34.65.43.5,443,443,true,FRA,Europe,Frankfurt,249,5.09
34.141.146.72,443,443,true,FRA,Europe,Frankfurt,276,5.06
34.65.223.113,443,443,true,FRA,Europe,Frankfurt,258,5.05
34.65.223.113,443,443,true,FRA,Europe,Frankfurt,261,5.04
34.90.188.200,443,443,true,FRA,Europe,Frankfurt,268,5.04
34.65.5.169,443,443,true,FRA,Europe,Frankfurt,258,5.04
35.204.253.172,443,443,true,FRA,Europe,Frankfurt,265,5.04
34.32.230.110,443,443,true,FRA,Europe,Frankfurt,263,5.04
34.91.81.192,443,443,true,FRA,Europe,Frankfurt,259,5.04
34.90.189.36,443,443,true,FRA,Europe,Frankfurt,284,5.03
34.116.191.111,443,443,true,FRA,Europe,Frankfurt,272,5.02
34.65.43.5,443,443,true,FRA,Europe,Frankfurt,250,5.02
34.116.255.53,443,443,true,FRA,Europe,Frankfurt,281,5.02
35.204.30.229,443,443,true,FRA,Europe,Frankfurt,263,5.02
34.141.111.235,443,443,true,FRA,Europe,Frankfurt,297,5.01
34.118.112.88,443,443,true,FRA,Europe,Frankfurt,270,5.00
35.246.191.74,443,443,true,FRA,Europe,Frankfurt,259,5.00
34.141.77.90,443,443,true,FRA,Europe,Frankfurt,260,5.00
34.89.241.158,443,443,true,FRA,Europe,Frankfurt,250,4.99
34.154.122.114,443,443,true,FRA,Europe,Frankfurt,252,4.99
34.116.217.223,443,443,true,FRA,Europe,Frankfurt,269,4.98
34.118.119.150,443,443,true,FRA,Europe,Frankfurt,274,4.97
34.118.126.251,443,443,true,FRA,Europe,Frankfurt,268,4.97
34.154.133.238,443,443,true,FRA,Europe,Frankfurt,249,4.96
34.89.193.162,443,443,true,FRA,Europe,Frankfurt,265,4.95
34.89.156.211,443,443,true,FRA,Europe,Frankfurt,252,4.95
34.90.168.44,443,443,true,FRA,Europe,Frankfurt,264,4.94
34.118.17.193,443,443,true,FRA,Europe,Frankfurt,269,4.93
34.118.17.165,443,443,true,FRA,Europe,Frankfurt,276,4.91
34.116.188.43,443,443,true,FRA,Europe,Frankfurt,287,4.91
34.154.248.169,443,443,true,FRA,Europe,Frankfurt,270,4.91
34.90.188.200,443,443,true,FRA,Europe,Frankfurt,264,4.90
34.116.231.238,443,443,true,FRA,Europe,Frankfurt,278,4.89
34.89.193.162,443,443,true,FRA,Europe,Frankfurt,267,4.87
34.91.151.64,443,443,true,FRA,Europe,Frankfurt,262,4.87
